number_series,answer,obfuscation,obfuscation_ground_truth
"43, 54, 76, 109, 153, ?",208,"Epsilon Delta, Zeta Epsilon, Theta Eta, Beta Alpha Kappa, Beta Zeta Delta, ",Gamma Alpha Iota
"2, 3, 14, 69, 340, ?",1825,"Gamma, Delta, Beta Epsilon, Eta Kappa, Delta Epsilon Alpha, ",Beta Iota Gamma Zeta
"9827, 9706, 9606, 9525, 9461, ?",9412,"Kappa Iota Gamma Theta, Kappa Theta Alpha Eta, Kappa Eta Alpha Eta, Kappa Zeta Gamma Zeta, Kappa Epsilon Eta Beta, ",Kappa Epsilon Beta Gamma
"1991, 1964, 1900, 1775, ?",1559,"Beta Kappa Kappa Beta, Beta Kappa Eta Epsilon, Beta Kappa Alpha Alpha, Beta Theta Theta Zeta, ",Beta Zeta Zeta Kappa
"7, 56, 92, 117, 133, ?",142,"Theta, Zeta Eta, Kappa Gamma, Beta Beta Theta, Beta Delta Delta, ",Beta Epsilon Gamma
"3, 17, 45, 87, 143, ?",213,"Delta, Beta Theta, Epsilon Zeta, Iota Theta, Beta Epsilon Delta, ",Gamma Beta Delta
"4, 2, 2, 3, 6, ?",15,"Epsilon, Gamma, Gamma, Delta, Eta, ",Beta Zeta
"729, 730, 734, 761, 1017, ?",4142,"Theta Gamma Kappa, Theta Delta Alpha, Theta Delta Epsilon, Theta Eta Beta, Beta Alpha Beta Theta, ",Epsilon Beta Epsilon Gamma
"512, 256, 256, 384, 768, ?",1920,"Zeta Beta Gamma, Gamma Zeta Eta, Gamma Zeta Eta, Delta Iota Epsilon, Theta Eta Iota, ",Beta Kappa Gamma Alpha
"0, 2, 28, 93, 217, ?",434,"Alpha, Gamma, Gamma Iota, Kappa Delta, Gamma Beta Theta, ",Epsilon Delta Epsilon
"125, 126, 130, 139, 155, 180, ?",216,"Beta Gamma Zeta, Beta Gamma Eta, Beta Delta Alpha, Beta Delta Kappa, Beta Zeta Zeta, Beta Iota Alpha, ",Gamma Beta Eta
"1331, 1431, 1631, 1931, 2331, ?",2831,"Beta Delta Delta Beta, Beta Epsilon Delta Beta, Beta Eta Delta Beta, Beta Kappa Delta Beta, Gamma Delta Delta Beta, ",Gamma Iota Delta Beta
"7, 27, 93, 301, 915, 2775, 8361",301,"Theta, Gamma Theta, Kappa Delta, Delta Alpha Beta, Kappa Beta Zeta, Gamma Theta Theta Zeta, Iota Delta Eta Beta",Delta Alpha Beta
"201, 196, 181, 146, 121, 76, 21",146,"Gamma Alpha Beta, Beta Kappa Eta, Beta Iota Beta, Beta Epsilon Eta, Beta Gamma Beta, Theta Eta, Gamma Beta",Beta Epsilon Eta
"8, 37, 229, 1841, 18421, 231065",231065,"Iota, Delta Theta, Gamma Gamma Kappa, Beta Iota Epsilon Beta, Beta Iota Epsilon Gamma Beta, Gamma Delta Beta Alpha Eta Zeta",Gamma Delta Beta Alpha Eta Zeta
"0, 10, 34, 82, 148, 250",82,"Alpha, Beta Alpha, Delta Epsilon, Iota Gamma, Beta Epsilon Iota, Gamma Zeta Alpha",Iota Gamma
"1, 0, 6, -3, 40, 100",100,"Beta, Alpha, Eta, Delta, Epsilon Alpha, Beta Alpha Alpha",Beta Alpha Alpha
"144, 361, 703, 1215, 1944, 2944",361,"Beta Epsilon Epsilon, Delta Eta Beta, Theta Alpha Delta, Beta Gamma Beta Zeta, Beta Kappa Epsilon Epsilon, Gamma Kappa Epsilon Epsilon",Delta Eta Beta
"24, 32, 42, 56, 78, 104",78,"Gamma Epsilon, Delta Gamma, Epsilon Gamma, Zeta Eta, Theta Iota, Beta Alpha Epsilon",Theta Iota
"40, 37, 45, 30, 54, 20",20,"Epsilon Alpha, Delta Theta, Epsilon Zeta, Delta Alpha, Zeta Epsilon, Gamma Alpha",Gamma Alpha
"86, 87, 92, 98, 106",87,"Iota Eta, Iota Theta, Kappa Gamma, Kappa Iota, Beta Alpha Eta",Iota Theta
"625, 663, 755, 745, 863, 835",863,"Eta Gamma Zeta, Eta Eta Delta, Theta Zeta Zeta, Theta Epsilon Zeta, Iota Eta Delta, Iota Delta Zeta",Iota Eta Delta
"2, 4, 10, 34, 152, 874",152,"Gamma, Epsilon, Beta Alpha, Delta Epsilon, Beta Zeta Gamma, Iota Theta Epsilon",Beta Zeta Gamma
"40, 45, 135, 442.5, 1285, 3837.5",135,"Epsilon Alpha, Epsilon Zeta, Beta Delta Zeta, Epsilon Epsilon Gamma Zeta, Beta Gamma Iota Zeta, Delta Iota Delta Theta Zeta",Beta Delta Zeta
"2, 11, 32, 71, 134, 229",229,"Gamma, Beta Beta, Delta Gamma, Theta Beta, Beta Delta Epsilon, Gamma Gamma Kappa",Gamma Gamma Kappa
"732, 744, 758, 780, 795, 816",758,"Theta Delta Gamma, Theta Epsilon Epsilon, Theta Zeta Iota, Theta Iota Alpha, Theta Kappa Zeta, Iota Beta Eta",Theta Zeta Iota
"7, 14, 32, 60, 132, 186",132,"Theta, Beta Epsilon, Delta Gamma, Eta Alpha, Beta Delta Gamma, Beta Iota Eta",Beta Delta Gamma
"19, 32, 48, 71, 99, 134",48,"Beta Kappa, Delta Gamma, Epsilon Iota, Theta Beta, Kappa Kappa, Beta Delta Epsilon",Epsilon Iota
"-4, 16, -12, 32, -20, 96",32,"Epsilon, Beta Eta, Beta Gamma, Delta Gamma, Gamma Alpha, Kappa Eta",Delta Gamma
"3, 14, 39, 80, 155, 258",258,"Delta, Beta Epsilon, Delta Kappa, Iota Alpha, Beta Zeta Zeta, Gamma Zeta Iota",Gamma Zeta Iota
"6, 12, 24, 42, 66, 95",95,"Eta, Beta Gamma, Gamma Epsilon, Epsilon Gamma, Eta Eta, Kappa Zeta",Kappa Zeta
"121, 145, 171, 199, 229, 264",264,"Beta Gamma Beta, Beta Epsilon Zeta, Beta Theta Beta, Beta Kappa Kappa, Gamma Gamma Kappa, Gamma Eta Epsilon",Gamma Eta Epsilon
"60, 90, 180, 450, 1360, 4725",1360,"Eta Alpha, Kappa Alpha, Beta Iota Alpha, Epsilon Zeta Alpha, Beta Delta Eta Alpha, Epsilon Theta Gamma Zeta",Beta Delta Eta Alpha
"1, 6, 19, 40, 69, 107",107,"Beta, Eta, Beta Kappa, Epsilon Alpha, Eta Kappa, Beta Alpha Theta",Beta Alpha Theta
"5, 10, 30, 150, 600, 3600",150,"Zeta, Beta Alpha, Delta Alpha, Beta Zeta Alpha, Eta Alpha Alpha, Delta Eta Alpha Alpha",Beta Zeta Alpha
"25, 55, 115, 235, 480, 955",480,"Gamma Zeta, Zeta Zeta, Beta Beta Zeta, Gamma Delta Zeta, Epsilon Iota Alpha, Kappa Zeta Zeta",Epsilon Iota Alpha
"1, 122, 291, 516, 806, 1166",806,"Beta, Beta Gamma Gamma, Gamma Kappa Beta, Zeta Beta Eta, Iota Alpha Eta, Beta Beta Eta Eta",Iota Alpha Eta
"225, 236, 260, 301, 355, 430",301,"Gamma Gamma Zeta, Gamma Delta Eta, Gamma Eta Alpha, Delta Alpha Beta, Delta Zeta Zeta, Epsilon Delta Alpha",Delta Alpha Beta
"26, 58, 127, 264, 625, 1016",625,"Gamma Eta, Zeta Iota, Beta Gamma Theta, Gamma Eta Epsilon, Eta Gamma Zeta, Beta Alpha Beta Eta",Eta Gamma Zeta
"110, 166, 136, 240, 170, 333",333,"Beta Beta Alpha, Beta Eta Eta, Beta Delta Eta, Gamma Epsilon Alpha, Beta Theta Alpha, Delta Delta Delta",Delta Delta Delta
"25, 37.5, 62.5, 100, 162.5, 212.5",162.5,"Gamma Zeta, Delta Theta Zeta, Eta Gamma Zeta, Beta Alpha Alpha, Beta Eta Gamma Zeta, Gamma Beta Gamma Zeta",Beta Eta Gamma Zeta
"7, 6, 3, -6, ?, -114",-33,"Theta, Eta, Delta, Eta, , Beta Beta Epsilon",Delta Delta
"6, 42, 164, 450, 1002, ?",1936,"Eta, Epsilon Gamma, Beta Eta Epsilon, Epsilon Zeta Alpha, Beta Alpha Alpha Gamma, ",Beta Kappa Delta Eta
"8, 14, 23, 36.5, ?, 87.125",49.75,"Iota, Beta Epsilon, Gamma Delta, Delta Eta Zeta, , Iota Theta Beta Gamma Zeta",Epsilon Kappa Theta Zeta
"3, 7, 15, 31, ?, 127",53,"Delta, Theta, Beta Zeta, Delta Beta, , Beta Gamma Theta",Zeta Delta
"2, 36, 150, 392, 810, ?, 2366",1728,"Gamma, Delta Eta, Beta Zeta Alpha, Delta Kappa Gamma, Iota Beta Alpha, , Gamma Delta Eta Eta",Beta Theta Gamma Iota
"88, 115, 144, 175, 208, ?",234,"Iota Iota, Beta Beta Zeta, Beta Epsilon Epsilon, Beta Theta Zeta, Gamma Alpha Iota, ",Gamma Delta Epsilon
"448, 294, 180, 100, 48, 18, ?",8,"Epsilon Epsilon Iota, Gamma Kappa Epsilon, Beta Iota Alpha, Beta Alpha Alpha, Epsilon Iota, Beta Iota, ",Iota
"2, 14, 42, 92, 170, ?",285,"Gamma, Beta Epsilon, Epsilon Gamma, Kappa Gamma, Beta Theta Alpha, ",Gamma Iota Zeta
"5, 20, 320, 1280, 20480, ?",81920,"Zeta, Gamma Alpha, Delta Gamma Alpha, Beta Gamma Iota Alpha, Gamma Alpha Epsilon Iota Alpha, ",Iota Beta Kappa Gamma Alpha
"10, 16, 34, 70, 130, ?",220,"Beta Alpha, Beta Eta, Delta Epsilon, Theta Alpha, Beta Delta Alpha, ",Gamma Gamma Alpha
"135135, 12285, 1365, 195, ?, 13",39,"Beta Delta Zeta Beta Delta Zeta, Beta Gamma Gamma Iota Zeta, Beta Delta Eta Zeta, Beta Kappa Zeta, , Beta Delta",Delta Kappa
"9, 13, 20, 36, 79, ?",203,"Kappa, Beta Delta, Gamma Alpha, Delta Eta, Theta Kappa, ",Gamma Alpha Delta
"7, 14, 28, 49, 77, ?",112,"Theta, Beta Epsilon, Gamma Iota, Epsilon Kappa, Theta Theta, ",Beta Beta Gamma
"9, 6, 19, 14, 39, ?",30,"Kappa, Eta, Beta Kappa, Beta Epsilon, Delta Kappa, ",Delta Alpha
"12, 38, 90, 194, 402, ?",818,"Beta Gamma, Delta Iota, Kappa Alpha, Beta Kappa Epsilon, Epsilon Alpha Gamma, ",Iota Beta Iota
"18, 16, 29, 83, 327, ?",1629,"Beta Iota, Beta Eta, Gamma Kappa, Iota Delta, Delta Gamma Theta, ",Beta Eta Gamma Kappa
"8, 16, 36, 74, 136, 228, ?",356,"Iota, Beta Eta, Delta Eta, Theta Epsilon, Beta Delta Eta, Gamma Gamma Iota, ",Delta Zeta Eta
"4, 18, 85, 336, 1005, ?",2008,"Epsilon, Beta Iota, Iota Zeta, Delta Delta Eta, Beta Alpha Alpha Zeta, ",Gamma Alpha Alpha Iota
"9, 265, 393, 457, 489, ?",505,"Kappa, Gamma Eta Zeta, Delta Kappa Delta, Epsilon Zeta Theta, Epsilon Iota Kappa, ",Zeta Alpha Zeta
"7, 17, 35, 63, 103, ?",157,"Theta, Beta Theta, Delta Zeta, Eta Delta, Beta Alpha Delta, ",Beta Zeta Theta
"40, 82, 249, 1250, ?",8757,"Epsilon Alpha, Iota Gamma, Gamma Epsilon Kappa, Beta Gamma Zeta Alpha, ",Iota Theta Zeta Theta
"24, 70, 144, 252, 400, ?",594,"Gamma Epsilon, Theta Alpha, Beta Epsilon Epsilon, Gamma Zeta Gamma, Epsilon Alpha Alpha, ",Zeta Kappa Epsilon
"33, 47, 53, 61, 71, ?",83,"Delta Delta, Epsilon Theta, Zeta Delta, Eta Beta, Theta Beta, ",Iota Delta
"660, 656, 620, 520, 324, ?",0,"Eta Eta Alpha, Eta Zeta Eta, Eta Gamma Alpha, Zeta Gamma Alpha, Delta Gamma Epsilon, ",Alpha
"133, 207, 353, 501, 741, ?",987,"Beta Delta Delta, Gamma Alpha Theta, Delta Zeta Delta, Zeta Alpha Beta, Theta Epsilon Beta, ",Kappa Iota Theta
"8.5, 24, ?, 79, 118.5, 166",47.5,"Iota Zeta, Gamma Epsilon, , Theta Kappa, Beta Beta Iota Zeta, Beta Eta Eta",Epsilon Theta Zeta
"2048, 516, 1032, 262, ?, 135, 270",524,"Gamma Alpha Epsilon Iota, Zeta Beta Eta, Beta Alpha Delta Gamma, Gamma Eta Gamma, , Beta Delta Zeta, Gamma Theta Alpha",Zeta Gamma Epsilon
"7, 9, 12, 48, ?, 890",172,"Theta, Kappa, Beta Gamma, Epsilon Iota, , Iota Kappa Alpha",Beta Theta Gamma
"47, 58, 71, 79, 95, ?",109,"Epsilon Theta, Zeta Iota, Theta Beta, Theta Kappa, Kappa Zeta, ",Beta Alpha Kappa
"8, 39, 79, 394, 789, ?",3944,"Iota, Delta Kappa, Theta Kappa, Delta Kappa Epsilon, Theta Iota Kappa, ",Delta Kappa Epsilon Epsilon
"15, 17, 26, 47, 86, ?",149,"Beta Zeta, Beta Theta, Gamma Eta, Epsilon Theta, Iota Eta, ",Beta Epsilon Kappa
"3, 9, 24, 57, ?, 267, 552",126,"Delta, Kappa, Gamma Epsilon, Zeta Theta, , Gamma Eta Theta, Zeta Zeta Gamma",Beta Gamma Eta
"2, 8, 28, 102, 432, ?",2190,"Gamma, Iota, Gamma Iota, Beta Alpha Gamma, Epsilon Delta Gamma, ",Gamma Beta Kappa Alpha
"6, 16, 44, 126, 370, ?",1100,"Eta, Beta Eta, Epsilon Epsilon, Beta Gamma Eta, Delta Theta Alpha, ",Beta Beta Alpha Alpha
"51, 77, 175, 250, 279, ?",413,"Zeta Beta, Theta Theta, Beta Theta Zeta, Gamma Zeta Alpha, Gamma Theta Kappa, ",Epsilon Beta Delta
"2, 2, 5, 15.5, ?, 267.125",58.25,"Gamma, Gamma, Zeta, Beta Zeta Zeta, , Gamma Eta Theta Beta Gamma Zeta",Zeta Iota Gamma Zeta
"219, 223, 232, 248, ?",273,"Gamma Beta Kappa, Gamma Gamma Delta, Gamma Delta Gamma, Gamma Epsilon Iota, ",Gamma Theta Delta
"10, 17.5, 32.5, 55, 85, ?",122.5,"Beta Alpha, Beta Theta Zeta, Delta Gamma Zeta, Zeta Zeta, Iota Zeta, ",Beta Gamma Gamma Zeta
"1, 7, 16, 30, 51, ?",81,"Beta, Theta, Beta Eta, Delta Alpha, Zeta Beta, ",Iota Beta
"0, 6, 24, 60, 120, ?",210,"Alpha, Eta, Gamma Epsilon, Eta Alpha, Beta Gamma Alpha, ",Gamma Beta Alpha
"6, 6, 18, 90, 630, ?",5670,"Eta, Eta, Beta Iota, Kappa Alpha, Eta Delta Alpha, ",Zeta Eta Theta Alpha
"27, 35, 47, 63, 83, ?",105,"Gamma Theta, Delta Zeta, Epsilon Theta, Eta Delta, Iota Delta, ",Beta Alpha Zeta
"7, 12, 19, 31, 50, ?",79,"Theta, Beta Gamma, Beta Kappa, Delta Beta, Zeta Alpha, ",Theta Kappa
"2, 3, 8, 27, 112, ?",630,"Gamma, Delta, Iota, Gamma Theta, Beta Beta Gamma, ",Eta Delta Alpha
"30, 128, 346, 732, ?, 2200",1334,"Delta Alpha, Beta Gamma Iota, Delta Epsilon Eta, Theta Delta Gamma, , Gamma Gamma Alpha Alpha",Beta Delta Delta Epsilon
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"Beta Eta Iota Alpha Alpha, Epsilon Gamma Alpha Alpha, Beta Alpha Zeta Alpha, Gamma Eta Gamma Zeta, , Beta Eta Epsilon Alpha Eta Gamma Zeta",Eta Zeta Eta Gamma Zeta
"156, 145, 123, 90, 46, ?",-9,"Beta Zeta Eta, Beta Epsilon Zeta, Beta Gamma Delta, Kappa Alpha, Epsilon Eta, ",Kappa
"11, 12, 39, 164, 507, ?",1236,"Beta Beta, Beta Gamma, Delta Kappa, Beta Eta Epsilon, Zeta Alpha Theta, ",Beta Gamma Delta Eta
"120, 145, ?, 197, 224, 257",168,"Beta Gamma Alpha, Beta Epsilon Zeta, , Beta Kappa Theta, Gamma Gamma Epsilon, Gamma Zeta Theta",Beta Eta Iota
"5, 36, 191, 966, ?, 24216",4841,"Zeta, Delta Eta, Beta Kappa Beta, Kappa Eta Eta, , Gamma Epsilon Gamma Beta Eta",Epsilon Iota Epsilon Beta
"144, 153, 171, 207, 279, ?",423,"Beta Epsilon Epsilon, Beta Zeta Delta, Beta Theta Beta, Gamma Alpha Theta, Gamma Theta Kappa, ",Epsilon Gamma Delta
"76, 304, ?, 43776, 1094400, 39398400",2736,"Theta Eta, Delta Alpha Epsilon, , Epsilon Delta Theta Theta Eta, Beta Alpha Kappa Epsilon Epsilon Alpha Alpha, Delta Kappa Delta Kappa Iota Epsilon Alpha Alpha",Gamma Theta Delta Eta
"2, 18, 36, ?, 98, 146, 188",68,"Gamma, Beta Iota, Delta Eta, , Kappa Iota, Beta Epsilon Eta, Beta Iota Iota",Eta Iota
"94, 99, 108, 119, 130, ?, 144",139,"Kappa Epsilon, Kappa Kappa, Beta Alpha Iota, Beta Beta Kappa, Beta Delta Alpha, , Beta Epsilon Epsilon",Beta Delta Kappa
"15, 15, 25, 58.33, ?, 641.66, 2780.55",175,"Beta Zeta, Beta Zeta, Gamma Zeta, Zeta Iota Delta Delta, , Eta Epsilon Beta Eta Eta, Gamma Theta Iota Alpha Zeta Zeta",Beta Theta Zeta
"35, 65, ?, 725, 3605, 21605, 151205",185,"Delta Zeta, Eta Zeta, , Theta Gamma Zeta, Delta Eta Alpha Zeta, Gamma Beta Eta Alpha Zeta, Beta Zeta Beta Gamma Alpha Zeta",Beta Iota Zeta
"131, 231, 341, 461, ?, 731",591,"Beta Delta Beta, Gamma Delta Beta, Delta Epsilon Beta, Epsilon Eta Beta, , Theta Delta Beta",Zeta Kappa Beta
"81, 108, 124, 249, ?, 628",285,"Iota Beta, Beta Alpha Iota, Beta Gamma Epsilon, Gamma Epsilon Kappa, , Eta Gamma Iota",Gamma Iota Zeta
"824, 568, 793, 597, 766, ?",622,"Iota Gamma Epsilon, Zeta Eta Iota, Theta Kappa Delta, Zeta Kappa Theta, Theta Eta Eta, ",Eta Gamma Gamma
"10.5, 20, 39, 67.5, ?, 153",105.5,"Beta Alpha Zeta, Gamma Alpha, Delta Kappa, Eta Theta Zeta, , Beta Zeta Delta",Beta Alpha Zeta Zeta
"9, 31, 73, 141, 241, ?",379,"Kappa, Delta Beta, Theta Delta, Beta Epsilon Beta, Gamma Epsilon Beta, ",Delta Theta Kappa
"161, 159, 169, 227, 477, ?",1495,"Beta Eta Beta, Beta Zeta Kappa, Beta Eta Kappa, Gamma Gamma Theta, Epsilon Theta Theta, ",Beta Epsilon Kappa Zeta
"33, 26.5, ?, 64.75, 139.5, 358.75",36.5,"Delta Delta, Gamma Eta Zeta, , Eta Epsilon Theta Zeta, Beta Delta Kappa Zeta, Delta Zeta Iota Theta Zeta",Delta Eta Zeta
"31, 17, 26, 64.5, ?, 1006.6",224.25,"Delta Beta, Beta Theta, Gamma Eta, Eta Epsilon Zeta, , Beta Alpha Alpha Eta Eta",Gamma Gamma Epsilon Gamma Zeta
"16, 19, 26, 39, 62, ?",99,"Beta Eta, Beta Kappa, Gamma Eta, Delta Kappa, Eta Gamma, ",Kappa Kappa
"386, 379, 358, 323, ?, 211",274,"Delta Iota Eta, Delta Theta Kappa, Delta Zeta Iota, Delta Gamma Delta, , Gamma Beta Beta",Gamma Theta Epsilon
