Answer,BaseQuestion,ObfuscatedQuest_l1,ObfuscatedQuest_l2
Son,"Pointing to a photograph, a man said, I have no brothers or sisters, but that man's father is my father's son,whom he is pointing?","Pointing to a photograph, a man said, I have no brothers or sisters, but that man's father is my grandfather's only son's son,whom he is pointing?","Pointing to a photograph, a man said, I have no brothers or sisters, but that man's father is my greatgrandfather's only grandson's son,whom he is pointing?"
Niece ,"Introducing a man , a woman said , He is the only son of my mother's mother,how is the woman related to the man?","Introducing a man, a woman said, He is the only son of my mother's grandmother's daughterinlaw , whom she is to the man?","Introducing a man, a woman said, He is the only son of my greatgrandfather's only son's only daughter inlaw,how she is related to the man?"
Cousin,"R introduces A as the son of the only brother of his father's wife,What is the realtion between A and R?","R introduces A as the son of the only son inlaw of his father's wife's grandfather, What is the relation between A and R?","R introduces A as the son of the only greatgrandfather's only grandson's daughterinlaw's husband of his father's wife, What is the relation between A and R?"
Daughter,"Pointing to a lady on the stage, B said, She is the sister of the son of the wife of my husband,What is the relation to the lady to B?","Pointing to a lady on the stage, B said, She is the sister of the son of the wife of my sisterinlaw's husband What is the relation to the lady to B?","Pointing to a lady on the stage, B said, She is the sister of the son of the wife of my fatherinlaw's father's grandson's son, What is the relation to the lady to B?"
GrandFather,"P who is V's daughter says to L Your mother R is the younger sister of my father who is the third child of J,who is J to P?","P who is V's motherinlaw's granddaughter says to L Your mother R is the younger daughter of my father's father and is the third child of J,who is J to P",P who is V's motherin law's husband's grandfather's grandson's daughter says to L Your mother R is the younger sister of my father who is the third child of who is J to P
Himself,"Pointing towards a person in a photograph S said He is the only son of the father of my sister's brother,whom he is pointing?",Pointing towards a person in a photograph S said He is the only son of the father of my sisterinlaw's husband whom he is pointing?,"Pointing towards a person in a photograph S said He is the only son of the father of my greatgrandfather's only grandson's wife's sisterinlaw's niece's brother,whom he is pointing?"
Father,"A man points to a photograph and says She is the daughter of the only son of my father,whom he is pointing","A man points to a photograph and says She is the daughter of the only son of my grandfather's wife's mother in law's only grandson, whom he is pointing?","A man points to a photograph and says She is the daughter of the only son of my greatgrandfather's only grandson, whom he is pointing?"
Sister-in-law,"A is father of C,D is son of B,E is brother of A,if c is sister of D,how B is related to E?","A is grandfather's only son of C, D is son of B, E is brothr of A, if C is sister of D, how B is related to E?","A is greatgrandfather's only grandson's son's father of C, D is son of B, E is brother of A, if C is sister of D, how B is related to E?"
Uncle,"B is the father of G, A is the brother of B, how is A related to G?","B is the father of G, A is the sisterinlaw's husband of B, how is A related to G?","B is the father of G, A is the greatgrandfather's wife's only grandson's daughterinlaw's husband of B, how is A related to G?"
Husband,"E is the father of D, F is the mother of D, what is the relation of E to F?","E is the grandfather's only son of D, F is the mother of D, what is the relation of E to F?","E is the greatgrandfather's only grandson's wife's husband's son's father of D, F is the mother of D, what is the relation of E to F?"
Sister,"C is the daughter of G, B is the son of G, how is C related to B","C is the motherinlaw's granddaughter of G, B is the only cousin brother of G's brother's wife's daughter, how is C related to B?","C is the mother's granddaughter of G, B is the son of G's grandmother's motherinlaw's grandson's son, how is C related to B?"
Sister,"A is the daughter of D, C is the son of D, how is A related to C","A is the motherinlaw's daughter's only brother's daughter of D, C is the motherinlaw's grandson of D, how is A related to C","A is the mother's granddaughter of D, C is the greatgrandmother's only daughter inlaw's grandson of D, how is A related to C?"
Aunt,"G is the sister of B, B is the father of F, how is G related to F?","G is the only granddaughter of B's grandmother, B is the only maternal uncle   of G's daughter's mother's daughter, how is G related to F?","G is the greatgrandfather's only grandson's daughter of B, B is the only maternal uncle of G's daughter, how is G related to F?"
Great-grandfather,"B is the grandfather of G, G is the father of E, how is B related to E?","B is the father's mother's father inlaw's son of G, G is the mother's son's father of E, how is B related to E?","B is the greatgrandmother's only  son's wife's son's father of G, G is the father of E, how is B related to E?"
Uncle,"F is the father of G, D is the brother of F, how is D related to G?","F is the father of G, D is the mother's son's sister inlaw's  husband of F, how is D related to G?","F is the greatgrandfather's only grandson of G, D is the brother of F, how is D related to G?"
Mother,"F is the wife of C, C is the father of E, how is F related to E?","F is the wife of C, C is the grandfather's only son of E, how is F related to E?","F is the wife of C, C is the greatgrandfather's only grandson's mother's only son of E, how is F related to E?"
Husband,"A is the father of F, D is the mother of F, what is the relation of A to D?","A is the mother's husband of F, D is the mother of F, what is the relation of A to D?","A is the greatgrandfather's only grandson of F, D is the mother of F, what is the relation of A to D?"
Mother,"D is the wife of C, C is the father of F, how is D related to F?","D is the wife of C, C is the grandfather's only son of F, how is D related to F?","D is the wife of C, C is the greatgrandfather's only grandson, how is D related to F?"
Daughter-in-law,"S said This girl is the wife of the grandson of my mother,what is the relation of S to the the girl?","S said This girl is the wife of the son's son of my mother, what is the relation of S to the girl?","S said This girl is the wife of the grandson of my greatgrandfather's only daughter inlaw, what is the relation of S to the the girl?"
Cousin,"A man said The girl I met yesterday is the daughter of the brother of my uncle,what is the relation of the man to the the girl?","A man said The girl I met yesterday is the daughter of the brother of my father's brother's wife's daughter's father,what is the relation of the man to the the girl?","A man said The girl I met yesterday is the daughter of the greatgrandfather's only grandson's daughterinlaw's husband of my uncle,what is the relation of the man to the the girl?"
Nephew,A woman says The boy playing with my son is the son of my husband's sisterwhat is the relation of the woman to the the boy?,"A woman says The boy playing with my Fatherinlaw's wife's  daughter's brother is the son of my husband's sister,what is the relation of the woman to the the boy?","A woman says The boy playing with my father's son's sister's son is the son of my husband's sister,what is the relation of the woman to the the boy?"
Grandson,"He is the son of my father's only daughter,who is he to my father?","He is the son of my father's only daughter's grandmother's only granddaughter, who is he to my grandfather's only son?",He is the son of my father's only daughter Who is he to my father's grandson's grandmother's  greatgrandmother inlaw's grandson?
Sister-in-law","She is the wife of my father's son,who is she to me?","She is the wife of my grandfather's son's brother, who is she to me?","She is the wife of my greatgrandfather's only grandson's son,who is she to me?"
Father,"The person is the father of the brother of my sister,who is the person to me?","The person is the father of the sisterinlaw's husband of my sister, Who is the person to me?",The person is the father of the younger brother of my greatgrandfather's only grandson's daughter Who is the person to me?
Father,"Pointing to a man a woman said His mother's only son is my father,who is that man to the woman?","Pointing to a man a woman said His mother's only son is my grandfather's only son,who is that man to the woman?","Pointing to a man a woman said His mother's only son is my greatgrandfather's only grandson,who is that man to the woman?"
Cousin,"He is the only son of the daughter of the father of my uncle,who is he to me?","He is the only son of the daughter of the father of my father's brother, Who is he to me?","He is the only  grandson of the father inlaw's wife of the daughter of the father of my uncle,who is he to me?"
Daughter,"A man points to a photograph and says She is the daughter of the only son of my father,who is she to the man?","A man points to a photograph and says She is the daughter of the only son of my grandfather's only son,who is she to the man?","A man points to a photograph and says She is the sister of the only son of my greatgrandfather's only grandson's wife's daughter,who is she to the man?"
Daughter,"Ravi said The girl in the photo is the daughter of the wife of my father's son,who is that girl to Ravi?","Ravi said The girl in the photo is the daughter of the wife of my mother's fatherinlaw's grandson,who is that girl to Ravi?","Ravi said The girl in the photo is the daughter of the wife of my father's greatgrandfather's wife's daughterinlaw's son,who is that girl to Ravi?"
Daughter,"Looking at a photo Kabir said She is the only daughter of my father's only son,who is that girl to Kabir?","Looking at a photo Kabir said She is the only granddaughter of my father's wife's motherinlaw's only grandson,who is that girl to Kabir?","Looking at a photo Kabir said She is the only daughter of my father's grandfather's father  only grandson's son,who is that girl to Kabir?"
Son,"R said The boy in the photo is the grandson of my father,who is that boy to R?","R said The boy in the photo is the son's son of my father, who is that boy to R","R said The boy in the photo is the son of my father's wife's motherinlaw's son, who is that boy to R?"
Maternal Aunt,What is your realtion to your maternal aunt's daughter's father's sister's only sister inlaw?,What is your realtion to your maternal aunt's daughter's father's sister's only brother's wife,What is your realtion to your maternal aunt's daughter's father's sister's only greatgrandfather's only grandson's daughterinlaw?
Wife,"B and C are siblings, M has two children and he is son of E, who is fatherinlaw of H ,H has only one son ,C is not granddaughter of E, How is H related to M?","B and C are siblings M has two children and he is son of E, who is father of H's spouse ,Hhas only one son C is not granddaughter of E ,How is H related to M?","B and C are siblings M has two children and he is son of E, who is fatherinlaw of H, H has only one son C is not son's daughter of E, How is H related to M?"
Three,"P is granddaughter of A, who is married to W ,M is brotherinlaw of A, who has two daughters but no son, R is cousin of Q and brother of P, U and V are sonsinlaw of W V has two daughters and one son U has one son and one daughter T and S are the daughters of X D is also the member of this familyHow many couples are there in the family.","P is son's daughter of A, who is married to W M is brotherinlaw of A, who has two daughters but no son R is cousin of Q and brother of P, U and V are married to W's children, V has two daughters and one son ,U has one son and one daughter T and S are the daughters of X D is also the member of this familyHow many couples are there in the family?","P is son's daughter of A, who is married to W M is brotherinlaw of A, who has two daughters but no son R is cousin of Q and brother of P U and V are sonsinlaw of W, V has two daughters and one son, U 's greatgrandfather's grandson's has one grandson and one granddaughter T and S are the daughters of X. D is also the member of this family,How many couples are there in the family."
